Model Name,Load Type,Mean,Median,P95,Maximum
ResNet18,Low,2303.27,4.06,6084.53,210400.00
ResNet18,Medium,2898.97,3.00,5393.33,232646.06
ResNet18,Heavy,3162.12,3.81,5352.55,232612.38
OPT-125M,Low,905.69,451.81,3086.20,6910.94
OPT-125M,Medium,788.47,274.31,2656.99,14897.19
OPT-125M,Heavy,748.79,187.03,2540.27,25981.19
Llama3-8B,Low,2089.76,72.34,10520.98,66036.88
Llama3-8B,Medium,1710.73,65.44,8713.15,40336.38
Llama3-8B,Heavy,1867.52,77.06,9603.14,66725.44
OPT-66B,Low,2114.23,35.88,12290.34,144169.25
