Model Name,Load Type,Statistic,Core 0,Core 1,Core 2,Core 3
ResNet18,Low,Mean,42202,22109,27390,21600
ResNet18,Low,Median,21162,22123,17508,14338
ResNet18,Low,P95,154956,56660,83802,71961
ResNet18,Low,Maximum,211179,66272,96969,93080
ResNet18,Medium,Mean,65842,4759,4759,4759
ResNet18,Medium,Median,2409,2309,2265,2350
ResNet18,Medium,P95,19397,13468,13040,12979
ResNet18,Medium,Maximum,1409611,13591,13563,14366
ResNet18,Heavy,Mean,198396,4450,4781,4156
ResNet18,Heavy,Median,3306,3199,3458,2412
ResNet18,Heavy,P95,17449,12610,12939,12527
ResNet18,Heavy,Maximum,5623975,14744,13954,14731
OPT-125M,Low,Mean,3391,3353,3386,3346
OPT-125M,Low,Median,501,500,494,494
OPT-125M,Low,P95,15276,15286,15338,15318
OPT-125M,Low,Maximum,99501,97764,92569,92215
OPT-125M,Medium,Mean,2629,2521,2579,2605
OPT-125M,Medium,Median,461,458,462,457
OPT-125M,Medium,P95,15174,14969,14923,15163
OPT-125M,Medium,Maximum,107746,107812,107846,105392
OPT-125M,Heavy,Mean,2593,2519,2562,2574
OPT-125M,Heavy,Median,458,463,459,457
OPT-125M,Heavy,P95,15142,15160,15086,15087
OPT-125M,Heavy,Maximum,108179,105578,108457,105374
Llama3-8B,Low,Mean,34761,34231,34587,33829
Llama3-8B,Low,Median,12223,12182,11751,12447
Llama3-8B,Low,P95,96227,94321,95767,94414
Llama3-8B,Low,Maximum,311387,312288,420153,402359
Llama3-8B,Medium,Mean,31819,32105,34377,31444
Llama3-8B,Medium,Median,10621,10975,10764,10907
Llama3-8B,Medium,P95,95155,94400,100231,94962
Llama3-8B,Medium,Maximum,414222,600086,574238,429099
Llama3-8B,Heavy,Mean,32413,32583,34369,31777
Llama3-8B,Heavy,Median,10920,11044,11038,10948
Llama3-8B,Heavy,P95,94768,94268,97657,94188
Llama3-8B,Heavy,Maximum,586885,506424,541908,626523
OPT-66B,Low,Mean,20681,20299,20739,20313
OPT-66B,Low,Median,9300,9062,9396,9082
OPT-66B,Low,P95,86369,87552,87867,87664
OPT-66B,Low,Maximum,1173857,1083938,1111369,1245346
OPT-66B,Medium,Mean,18840,19524,19918,19045
OPT-66B,Medium,Median,8107,8359,8504,8410
OPT-66B,Medium,P95,86943,88752,89469,87560
OPT-66B,Medium,Maximum,1173857,1608914,1115369,3065474
OPT-66B,Heavy,Mean,18899,19553,19559,19810
OPT-66B,Heavy,Median,7904,8166,8114,8110
OPT-66B,Heavy,P95,86957,88807,88712,86868
OPT-66B,Heavy,Maximum,1948044,1759288,1768641,1302138
