Model Name,Load Type,Statistic,Core 0,Core 1,Core 2,Core 3
ResNet18,Low,Mean,462523,462523,462523,462523
ResNet18,Low,Median,462523,462523,462523,462523
ResNet18,Low,P95,462523,462523,462523,462523
ResNet18,Low,Maximum,462523,462523,462523,462523
ResNet18,Medium,Mean,2161025,2161025,2161025,2161025
ResNet18,Medium,Median,2161025,2161025,2161025,2161025
ResNet18,Medium,P95,2161025,2161025,2161025,2161025
ResNet18,Medium,Maximum,2161025,2161025,2161025,2161025
ResNet18,Heavy,Mean,8323716,8323716,8323716,8323716
ResNet18,Heavy,Median,8323716,8323716,8323716,8323716
ResNet18,Heavy,P95,8323716,8323716,8323716,8323716
ResNet18,Heavy,Maximum,8323716,8323716,8323716,8323716
OPT-125M,Low,Mean,976,976,976,976
OPT-125M,Low,Median,1,1,1,1
OPT-125M,Low,P95,1075,1075,1050,1073
OPT-125M,Low,Maximum,106622,106276,106337,106221
OPT-125M,Medium,Mean,680,680,680,680
OPT-125M,Medium,Median,1,1,1,1
OPT-125M,Medium,P95,963,965,959,957
OPT-125M,Medium,Maximum,130587,130323,129326,130409
OPT-125M,Heavy,Mean,676,676,676,676
OPT-125M,Heavy,Median,1,1,1,1
OPT-125M,Heavy,P95,968,968,971,976
OPT-125M,Heavy,Maximum,113576,116251,113639,113603
Llama3-8B,Low,Mean,9138,9138,9136,9138
Llama3-8B,Low,Median,1,1,1,1
Llama3-8B,Low,P95,245,245,245,245
Llama3-8B,Low,Maximum,2117436,2113058,2113386,2117438
Llama3-8B,Medium,Mean,5974,5974,5974,5974
Llama3-8B,Medium,Median,1,1,1,1
Llama3-8B,Medium,P95,245,245,245,245
Llama3-8B,Medium,Maximum,4371209,4371235,4371189,4370760
Llama3-8B,Heavy,Mean,5893,5893,5893,5893
Llama3-8B,Heavy,Median,1,1,1,1
Llama3-8B,Heavy,P95,245,245,245,245
Llama3-8B,Heavy,Maximum,4042811,4042877,4037131,4042799
OPT-66B,Low,Mean,18823,18823,18822,18823
OPT-66B,Low,Median,1,1,1,1
OPT-66B,Low,P95,516,516,516,516
OPT-66B,Low,Maximum,7561663,9502377,8827443,7527678
OPT-66B,Medium,Mean,12327,12326,12326,12326
OPT-66B,Medium,Median,1,1,1,1
OPT-66B,Medium,P95,516,516,516,516
OPT-66B,Medium,Maximum,12244247,14545727,13871198,12244075
OPT-66B,Heavy,Mean,12116,12116,12116,12116
OPT-66B,Heavy,Median,1,1,1,1
OPT-66B,Heavy,P95,516,516,516,516
OPT-66B,Heavy,Maximum,10868827,13538184,12863843,10829386
