Model,Load,Total_Cycles,Simulation_Time_sec,Total_Tiles,TPS,Core0_MatMul_Active_Cycles,Core0_Vector_Active_Cycles,Core0_Memory_Idle_Cycles,Core0_Systolic_Bubble_Cycles,Core0_Core_Idle_Cycles,Core0_SA_Util,Core0_PE_Util,Core0_Vector_Util,Core0_SA_Issue_count,Core0_Preload_Issue_count,Core1_MatMul_Active_Cycles,Core1_Vector_Active_Cycles,Core1_Memory_Idle_Cycles,Core1_Systolic_Bubble_Cycles,Core1_Core_Idle_Cycles,Core1_SA_Util,Core1_PE_Util,Core1_Vector_Util,Core1_SA_Issue_count,Core1_Preload_Issue_count,Core2_MatMul_Active_Cycles,Core2_Vector_Active_Cycles,Core2_Memory_Idle_Cycles,Core2_Systolic_Bubble_Cycles,Core2_Core_Idle_Cycles,Core2_SA_Util,Core2_PE_Util,Core2_Vector_Util,Core2_SA_Issue_count,Core2_Preload_Issue_count,Core3_MatMul_Active_Cycles,Core3_Vector_Active_Cycles,Core3_Memory_Idle_Cycles,Core3_Systolic_Bubble_Cycles,Core3_Core_Idle_Cycles,Core3_SA_Util,Core3_PE_Util,Core3_Vector_Util,Core3_SA_Issue_count,Core3_Preload_Issue_count,CH0_RowHits,CH0_RowMisses,CH0_RowConflicts,CH0_Writes,CH0_Reads,CH0_BW_Util_%
Resnet18,low,462523,11.377151,31,3.298796,25341,0,458634,0,367118,17.88,5.48,0.0,265,265,27399,0,457556,0,182315,56.98,5.92,0.0,293,293,23871,0,457706,0,203353,52.63,5.16,0.0,119,119,34059,0,455677,0,178299,57.97,7.36,0.0,264,264,15768,83,1709,9701,8672,3
Resnet18,medium,2161025,109.347353,192,1.869142,209000,0,2113156,0,1412676,29.92,9.67,0.0,1826,1826,225464,0,2098384,0,0,94.94,10.43,0.0,1826,1826,225464,0,2099520,0,201,94.94,10.43,0.0,1826,1826,225456,0,2094304,0,130,94.94,10.43,0.0,1826,1826,95514,935,36311,77648,55371,5
Resnet18,heavy,8323716,452.765844,744,1.723602,836000,0,8151908,0,5630026,30.88,10.04,0.0,7280,7280,901856,0,8112468,0,856,98.4,10.83,0.0,7280,7280,901856,0,8102190,571,2581,98.39,10.83,0.0,7280,7280,901832,0,8112681,0,16887,98.4,10.83,0.0,7280,7280,387974,4513,133484,310588,215383,5
opt-125m,low,4478346,1955.299166,4033,2.062771,86922,9397,3010909,90338,127229,28.75,1.94,0.21,9030,9030,95496,9393,2943478,86970,122768,29.39,2.13,0.21,9258,9258,84636,9399,3047435,90026,130241,28.7,1.89,0.21,9012,9012,84066,9393,2969508,87509,130209,29.25,1.88,0.21,9204,9204,1280709,6331,772950,38165,2031073,38
opt-125m,medium,4986615,2166.079093,5492,2.535693,142662,15004,3424347,136920,87959,30.68,2.86,0.3,10512,10512,139530,15004,3235364,139033,160733,31.61,2.8,0.3,10836,10836,135210,15004,3466572,142191,170903,30.17,2.71,0.3,10272,10272,144390,15004,3355185,136614,86791,31.2,2.9,0.3,10716,10716,1426760,7221,814268,61065,2194938,37
opt-125m,heavy,7431982,3208.747453,8207,2.557854,206742,22506,5102793,208544,162323,30.88,2.78,0.3,15756,15756,218130,22506,4934401,206393,212972,31.67,2.94,0.3,16188,16188,210834,22506,5119575,212192,233484,30.68,2.84,0.3,15606,15606,206982,22506,5043780,205433,155869,31.22,2.79,0.3,15954,15954,2112227,10382,1208247,91601,3252875,37
llama3-8b,low,108031762,75696.4152,9793,0.129376,2692752,26326,26500100,98211,2816523,26.67,2.49,0.02,226144,222364,2752224,26335,25175100,96718,1758362,27.22,2.55,0.02,230752,226972,2674464,26341,26029343,94713,3283416,26.62,2.48,0.02,225712,221932,2514480,26335,24688706,101881,2150792,27.07,2.33,0.02,229456,225676,28596615,78751,27965755,260765,56380963,10
llama3-8b,medium,112920538,81996.555591,11086,0.135205,4264368,42106,26401278,153333,2146691,27.27,3.78,0.04,243328,237280,4182000,42106,26394952,153152,1567426,27.19,3.7,0.04,242608,236560,4170192,42106,29436792,153376,4748733,25.69,3.69,0.04,229504,223456,4397712,42106,24802388,158145,1180177,27.88,3.89,0.04,248656,242608,30358453,94113,29158210,417200,59193800,12
llama3-8b,heavy,167089020,153106.650571,16383,0.107006,6556464,63159,39772667,231626,3338997,27.64,3.92,0.04,365136,356064,6473520,63159,39593486,231368,2757751,27.58,3.87,0.04,364272,355200,6111504,63159,42848098,237305,6253233,26.34,3.66,0.04,348288,339216,6379920,63159,38464504,235745,2844354,27.9,3.82,0.04,368448,359376,44724452,132419,42856273,625822,87088121,0
opt-66b,low,492797965,349865.459157,37506,0.107205,12575340,55830,143412581,469283,34491790,27.88,2.55,0.01,1055052,1055052,12941100,55842,140261156,491210,36949421,27.91,2.63,0.01,1055916,1055916,12209580,55848,140805891,500955,33326309,27.78,2.48,0.01,1051596,1051596,11843820,55842,138026324,483253,36795096,27.77,2.4,0.01,1050732,1050732,127409328,239417,135749296,457922,262941108,0
opt-66b,medium,516174041,366893.455801,45490,0.123991,19916928,89298,138841852,745120,28870282,28.43,3.86,0.02,1125216,1125216,19738944,89316,145529017,793588,35273654,27.51,3.82,0.02,1088352,1088352,19738944,89334,146873696,790098,30557817,27.5,3.82,0.02,1088352,1088352,19916928,89316,138906741,789306,31058857,28.42,3.86,0.02,1125216,1125216,133652151,271309,142589047,732672,275780744,3
opt-66b,heavy,761036239,493030.56131,67444,0.136799,29902320,133974,211337517,1148458,49485298,28.76,3.93,0.02,1679184,1679184,29569968,133974,220299031,1167744,52034172,28.09,3.89,0.02,1639728,1639728,29581488,133974,217889794,1164986,49576145,28.11,3.89,0.02,1641168,1641168,29913840,133974,210705179,1161366,49139644,28.79,3.93,0.02,1680624,1680624,197396303,398373,209009612,1099030,405707020,2
