Model,Load,Statistic,Value
ResNet18,Low,Mean,28325.25
ResNet18,Low,Median,18782.75
ResNet18,Low,P95,91844.75
ResNet18,Low,Maximum,116875.0
ResNet18,Medium,Mean,20029.75
ResNet18,Medium,Median,2333.25
ResNet18,Medium,P95,14721.0
ResNet18,Medium,Maximum,362782.75
ResNet18,Heavy,Mean,52945.75
ResNet18,Heavy,Median,3093.75
ResNet18,Heavy,P95,13881.25
ResNet18,Heavy,Maximum,1416851.0
OPT-125M,Low,Mean,3369.0
OPT-125M,Low,Median,497.25
OPT-125M,Low,P95,15304.5
OPT-125M,Low,Maximum,95512.25
OPT-125M,Medium,Mean,2583.5
OPT-125M,Medium,Median,459.5
OPT-125M,Medium,P95,15057.25
OPT-125M,Medium,Maximum,107199.0
OPT-125M,Heavy,Mean,2562.0
OPT-125M,Heavy,Median,459.25
OPT-125M,Heavy,P95,15118.75
OPT-125M,Heavy,Maximum,106897.0
Llama3-8B,Low,Mean,34352.0
Llama3-8B,Low,Median,12150.75
Llama3-8B,Low,P95,95182.25
Llama3-8B,Low,Maximum,361546.75
Llama3-8B,Medium,Mean,32436.25
Llama3-8B,Medium,Median,10816.75
Llama3-8B,Medium,P95,96187.0
Llama3-8B,Medium,Maximum,504411.25
Llama3-8B,Heavy,Mean,32785.5
Llama3-8B,Heavy,Median,10987.5
Llama3-8B,Heavy,P95,95220.25
Llama3-8B,Heavy,Maximum,565435.0
OPT-66B,Low,Mean,20508.0
OPT-66B,Low,Median,9210.0
OPT-66B,Low,P95,87363.0
OPT-66B,Low,Maximum,1153627.5
OPT-66B,Medium,Mean,19331.75
OPT-66B,Medium,Median,8345.0
OPT-66B,Medium,P95,88181.0
OPT-66B,Medium,Maximum,1740903.5
OPT-66B,Heavy,Mean,19455.25
OPT-66B,Heavy,Median,8073.5
OPT-66B,Heavy,P95,87836.0
OPT-66B,Heavy,Maximum,1694527.75
