Model,Load,Statistic,Value
ResNet18,Low,Mean,462523.0
ResNet18,Low,Median,462523.0
ResNet18,Low,P95,462523.0
ResNet18,Low,Maximum,462523.0
ResNet18,Medium,Mean,2161025.0
ResNet18,Medium,Median,2161025.0
ResNet18,Medium,P95,2161025.0
ResNet18,Medium,Maximum,2161025.0
ResNet18,Heavy,Mean,8323716.0
ResNet18,Heavy,Median,8323716.0
ResNet18,Heavy,P95,8323716.0
ResNet18,Heavy,Maximum,8323716.0
OPT-125M,Low,Mean,976.0
OPT-125M,Low,Median,1.0
OPT-125M,Low,P95,1068.25
OPT-125M,Low,Maximum,106364.0
OPT-125M,Medium,Mean,680.0
OPT-125M,Medium,Median,1.0
OPT-125M,Medium,P95,961.0
OPT-125M,Medium,Maximum,130161.25
OPT-125M,Heavy,Mean,676.0
OPT-125M,Heavy,Median,1.0
OPT-125M,Heavy,P95,970.75
OPT-125M,Heavy,Maximum,114267.25
Llama3-8B,Low,Mean,9137.5
Llama3-8B,Low,Median,1.0
Llama3-8B,Low,P95,245.0
Llama3-8B,Low,Maximum,2115329.5
Llama3-8B,Medium,Mean,5974.0
Llama3-8B,Medium,Median,1.0
Llama3-8B,Medium,P95,245.0
Llama3-8B,Medium,Maximum,4371098.25
Llama3-8B,Heavy,Mean,5893.0
Llama3-8B,Heavy,Median,1.0
Llama3-8B,Heavy,P95,245.0
Llama3-8B,Heavy,Maximum,4041404.5
OPT-66B,Low,Mean,18822.75
OPT-66B,Low,Median,1.0
OPT-66B,Low,P95,516.0
OPT-66B,Low,Maximum,8354790.25
OPT-66B,Medium,Mean,12326.25
OPT-66B,Medium,Median,1.0
OPT-66B,Medium,P95,516.0
OPT-66B,Medium,Maximum,13226311.75
OPT-66B,Heavy,Mean,12116.0
OPT-66B,Heavy,Median,1.0
OPT-66B,Heavy,P95,516.0
OPT-66B,Heavy,Maximum,12025060.0
