Layer,StartCycle,EndCycle
layer0.attn.QKVgen,0,1723
layer0.attn.KVccat,1723,1725
layer0.attn.Attention.0,1725,9770
layer0.attn.Atccat,9770,9771
layer0.attn.proj,9771,10831
layer0.attn.ln,10831,10976
layer0.ffn.fc1,10976,12330
layer0.ffn.act,12330,12541
layer0.ffn.fc2,12541,14315
layer0.ffn.ln,14315,14453
layer0.attn.QKVgen,14454,16015
layer0.attn.KVccat,16015,16016
layer0.attn.Attention.0,16016,23547
layer0.attn.Atccat,23547,23548
layer0.attn.proj,23548,24491
layer0.attn.ln,24491,24545
layer0.ffn.fc1,24545,25768
layer0.ffn.act,25768,25812
layer0.ffn.fc2,25812,27329
layer0.ffn.ln,27329,27368
