MemoryIdleCycle,SystolicBubbleCycle,CoreIdleCycle,Cycle,SystolicArrayUtil(%),PEUtil(%),VectorUtil(%),MemoryIdle(%),SystolicBubble(%),CoreIdle(%)
7152,0,59,8000,38.28,11.6,6.39,89.4,0.0,0.7374999999999999
6855,0,0,8000,38.62,13.77,6.39,,,
6953,0,0,8000,41.2,12.14,6.39,,,
7152,0,0,8000,38.28,11.6,6.39,,,
7512,0,1550,16000,35.03,7.25,0.21,93.89999999999999,0.0,19.375
7215,0,0,16000,44.25,10.88,0.21,,,
7244,0,113,16000,41.67,10.32,0.21,,,
7512,0,1656,16000,35.03,7.25,0.21,,,
7152,0,1060,24000,23.66,0.01,0.25,89.4,0.0,13.25
6629,0,228,24000,28.83,6.41,0.25,,,
6684,0,273,24000,28.19,5.21,0.25,,,
7086,0,1098,24000,23.6,0.03,0.25,,,
7569,0,129,32000,43.89,0.01,0.19,94.6125,0.0,1.6125
7875,0,1020,32000,40.28,0.01,0.14,,,
7881,0,1005,32000,40.91,0.01,0.11,,,
7503,0,191,32000,43.95,0.03,0.11,,,
30708,0,2853,33324,35.74,4.53,1.69,2319.335347432024,0.0,215.4833836858006
29898,0,2260,33324,36.48,7.46,1.68,,,
30083,0,2648,33324,36.48,6.65,1.69,,,
30576,0,2973,33324,35.74,4.55,1.67,,,
